DATE,CCLACBW027SBOG
2004-12-15,291.0106
2004-12-22,296.97
2004-12-29,308.8843
2005-01-05,308.9762
2005-01-12,305.458
2005-01-19,304.116
2005-01-26,302.7755
2005-02-02,298.0889
2005-02-09,294.2789
2005-02-16,301.2353
2005-02-23,301.2163
2005-03-02,300.9581
2005-03-09,298.2558
2005-03-16,300.1122
2005-03-23,299.8566
2005-03-30,300.375
2005-04-06,299.7678
2005-04-13,298.4392
2005-04-20,303.2903
2005-04-27,304.1784
2005-05-04,299.6039
2005-05-11,297.2704
2005-05-18,300.8959
2005-05-25,299.8188
2005-06-01,298.4263
2005-06-08,298.982
2005-06-15,302.1467
2005-06-22,304.4726
2005-06-29,301.8943
2005-07-06,300.7455
2005-07-13,300.5968
2005-07-20,304.3996
2005-07-27,304.8062
2005-08-03,301.8801
2005-08-10,301.368
2005-08-17,302.8262
2005-08-24,303.0865
2005-08-31,300.9205
2005-09-07,300.9719
2005-09-14,305.4862
2005-09-21,306.3253
2005-09-28,306.0158
2005-10-05,294.8802
2005-10-12,293.3954
2005-10-19,295.5172
2005-10-26,298.0247
2005-11-02,299.553
2005-11-09,297.6058
2005-11-16,301.8276
2005-11-23,301.8316
2005-11-30,299.1933
2005-12-07,298.0087
2005-12-14,304.3726
2005-12-21,303.8028
2005-12-28,305.6571
2006-01-04,303.3853
2006-01-11,300.7263
2006-01-18,304.8459
2006-01-25,304.0763
2006-02-01,297.8442
2006-02-08,296.4913
2006-02-15,298.0097
2006-02-22,296.6491
2006-03-01,293.1205
2006-03-08,291.1758
2006-03-15,290.8951
2006-03-22,293.6612
2006-03-29,293.0953
2006-04-05,289.9346
2006-04-12,293.4749
2006-04-19,295.8963
2006-04-26,298.3836
2006-05-03,297.0146
2006-05-10,298.0522
2006-05-17,303.7919
2006-05-24,304.6193
2006-05-31,301.9632
2006-06-07,298.5835
2006-06-14,301.852
2006-06-21,296.5293
2006-06-28,296.7725
2006-07-05,297.7787
2006-07-12,296.0613
2006-07-19,303.0579
2006-07-26,302.4431
2006-08-02,299.9575
2006-08-09,300.6598
2006-08-16,304.1283
2006-08-23,306.6316
2006-08-30,304.4203
2006-09-06,304.634
2006-09-13,303.5127
2006-09-20,304.7668
2006-09-27,303.5486
2006-10-04,301.0006
2006-10-11,300.773
2006-10-18,300.6396
2006-10-25,300.1127
2006-11-01,300.4143
2006-11-08,300.7007
2006-11-15,302.7944
2006-11-22,304.3014
2006-11-29,305.6106
2006-12-06,307.8704
2006-12-13,311.6722
2006-12-20,312.9721
2006-12-27,315.7695
2007-01-03,315.1205
2007-01-10,314.6002
2007-01-17,316.9077
2007-01-24,317.8572
2007-01-31,312.0677
2007-02-07,311.4122
2007-02-14,315.0605
2007-02-21,311.8296
2007-02-28,302.8163
2007-03-07,303.0381
2007-03-14,301.9119
2007-03-21,303.8718
2007-03-28,302.4471
2007-04-04,304.529
2007-04-11,305.8712
2007-04-18,308.9575
2007-04-25,310.2466
2007-05-02,308.9453
2007-05-09,308.6053
2007-05-16,310.8044
2007-05-23,310.8277
2007-05-30,313.3426
2007-06-06,312.3337
2007-06-13,314.2919
2007-06-20,317.9688
2007-06-27,316.4698
2007-07-04,316.377
2007-07-11,316.762
2007-07-18,318.1707
2007-07-25,317.5099
2007-08-01,313.3542
2007-08-08,314.776
2007-08-15,317.2175
2007-08-22,317.785
2007-08-29,320.2178
2007-09-05,320.1683
2007-09-12,318.473
2007-09-19,325.4988
2007-09-26,324.4568
2007-10-03,319.8919
2007-10-10,321.1694
2007-10-17,320.7897
2007-10-24,322.2693
2007-10-31,320.0525
2007-11-07,323.578
2007-11-14,328.9058
2007-11-21,331.7736
2007-11-28,334.1393
2007-12-05,333.3751
2007-12-12,337.482
2007-12-19,345.3663
2007-12-26,344.6512
2008-01-02,341.6662
2008-01-09,338.7968
2008-01-16,339.634
2008-01-23,340.3198
2008-01-30,334.5755
2008-02-06,332.3337
2008-02-13,330.162
2008-02-20,332.8956
2008-02-27,331.2576
2008-03-05,330.3809
2008-03-12,331.4001
2008-03-19,328.9797
2008-03-26,327.2653
2008-04-02,323.0605
2008-04-09,324.5168
2008-04-16,333.1053
2008-04-23,331.1991
2008-04-30,330.961
2008-05-07,331.2155
2008-05-14,331.4999
2008-05-21,329.5145
2008-05-28,330.5207
2008-06-04,328.3531
2008-06-11,328.1577
2008-06-18,332.9994
2008-06-25,332.4904
2008-07-02,329.3385
2008-07-09,329.806
2008-07-16,336.0762
2008-07-23,336.9384
2008-07-30,338.2538
2008-08-06,337.5803
2008-08-13,337.5609
2008-08-20,343.1905
2008-08-27,344.0425
2008-09-03,342.4996
2008-09-10,342.1038
2008-09-17,346.7727
2008-09-24,348.4944
2008-10-01,366.0406
2008-10-08,366.7086
2008-10-15,374.7594
2008-10-22,375.2647
2008-10-29,378.608
2008-11-05,378.4179
2008-11-12,380.7317
2008-11-19,385.2141
2008-11-26,382.7748
2008-12-03,382.2099
2008-12-10,381.2562
2008-12-17,385.8309
2008-12-24,385.3516
2008-12-31,383.1188
2009-01-07,385.4508
2009-01-14,395.9802
2009-01-21,399.7545
2009-01-28,393.5083
2009-02-04,393.3858
2009-02-11,392.9981
2009-02-18,398.5706
2009-02-25,397.2499
2009-03-04,391.6173
2009-03-11,393.1647
2009-03-18,385.6961
2009-03-25,376.6772
2009-04-01,370.1652
2009-04-08,371.2595
2009-04-15,375.7634
2009-04-22,372.713
2009-04-29,374.1012
2009-05-06,365.669
2009-05-13,357.8114
2009-05-20,367.111
2009-05-27,369.4784
2009-06-03,363.0648
2009-06-10,358.433
2009-06-17,357.6348
2009-06-24,357.6924
2009-07-01,356.0934
2009-07-08,355.1139
2009-07-15,356.2165
2009-07-22,359.2524
2009-07-29,357.7374
2009-08-05,352.9591
2009-08-12,354.0635
2009-08-19,357.9212
2009-08-26,357.7554
2009-09-02,350.5023
2009-09-09,354.5406
2009-09-16,355.4102
2009-09-23,351.1727
2009-09-30,343.6525
2009-10-07,344.7917
2009-10-14,344.5783
2009-10-21,348.3199
2009-10-28,347.5547
2009-11-04,343.3518
2009-11-11,342.3967
2009-11-18,346.1132
2009-11-25,345.9369
2009-12-02,340.2052
2009-12-09,338.742
2009-12-16,337.8817
2009-12-23,333.0911
2009-12-30,332.2717
2010-01-06,326.2143
2010-01-13,324.4905
2010-01-20,323.8403
2010-01-27,322.9585
2010-02-03,318.6956
2010-02-10,318.1487
2010-02-17,319.442
2010-02-24,318.0236
2010-03-03,313.1894
2010-03-10,312.1724
2010-03-17,315.3179
2010-03-24,321.1902
2010-03-31,650.7132
2010-04-07,650.6923
2010-04-14,649.4446
2010-04-21,647.7453
2010-04-28,646.7777
2010-05-05,643.9114
2010-05-12,642.5722
2010-05-19,641.841
2010-05-26,639.1958
2010-06-02,634.9566
2010-06-09,635.4524
2010-06-16,632.5781
2010-06-23,632.1338
2010-06-30,627.9375
2010-07-07,628.2241
2010-07-14,628.1325
2010-07-21,627.1767
2010-07-28,625.7433
2010-08-04,624.3316
2010-08-11,623.1738
2010-08-18,621.9341
2010-08-25,620.7885
2010-09-01,618.7009
2010-09-08,617.8281
2010-09-15,617.5223
2010-09-22,614.9859
2010-09-29,616.3694
2010-10-06,613.2223
2010-10-13,613.1983
2010-10-20,612.8445
2010-10-27,610.7304
2010-11-03,609.4688
2010-11-10,609.1746
2010-11-17,608.503
2010-11-24,607.6746
2010-12-01,606.0254
2010-12-08,607.9223
2010-12-15,607.4033
2010-12-22,606.7744
2010-12-29,606.1399
2011-01-05,605.4134
2011-01-12,603.5155
2011-01-19,604.7854
2011-01-26,603.1067
2011-02-02,602.4511
2011-02-09,601.224
2011-02-16,600.1681
2011-02-23,600.4017
2011-03-02,599.6333
2011-03-09,600.009
2011-03-16,600.6791
2011-03-23,600.63
2011-03-30,601.2766
2011-04-06,598.8081
2011-04-13,597.8082
2011-04-20,598.6592
2011-04-27,597.6638
2011-05-04,596.7255
2011-05-11,596.5054
2011-05-18,596.6103
2011-05-25,595.8812
2011-06-01,599.2682
2011-06-08,599.563
2011-06-15,599.4611
