Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2013-01-01 00:00:00-05:00,22.974319815724808,23.323015398086373,22.434831378567846,22.671680450439453,69776400,0.0,0.0
2013-01-08 00:00:00-05:00,22.5598343508038,22.7901028660674,21.928238557733422,22.428251266479492,75098200,0.4,0.0
2013-01-15 00:00:00-05:00,22.442276074309714,24.845617294311523,22.442276074309714,24.845617294311523,61819900,0.0,0.0
2013-01-22 00:00:00-05:00,24.61926433969216,25.64451285489111,23.92023218464456,24.55934715270996,54193100,0.0,0.0
2013-01-29 00:00:00-05:00,24.439514108388433,24.985425157430306,24.133271820314654,24.818988800048828,46276500,0.0,0.0
2013-02-05 00:00:00-05:00,24.91218608911859,25.118568031320745,23.800392738263234,23.866966247558594,42786600,0.0,0.0
2013-02-12 00:00:00-05:00,23.81370929523777,25.171830294474244,23.307741453349642,25.018709182739258,33200000,0.0,0.0
2013-02-19 00:00:00-05:00,24.9920766307,26.050611651669197,24.705805977634235,24.87889862060547,32806000,0.0,0.0
2013-02-26 00:00:00-05:00,25.032020273834227,25.46475570027374,24.233128009048308,25.458099365234375,41372600,0.0,0.0
2013-03-05 00:00:00-05:00,25.59790974333935,25.67779847589418,24.68583930612211,25.07862663269043,25311300,0.0,0.0
2013-03-12 00:00:00-04:00,25.098594473084177,25.65782054100133,24.53936840516702,25.404836654663086,37481200,0.0,0.0
2013-03-19 00:00:00-04:00,25.464761394176783,26.310258351757103,25.191805883431734,26.177108764648438,26305800,0.0,0.0
2013-03-26 00:00:00-04:00,26.343537930491852,27.38875771392471,26.343537930491852,27.375442504882812,24527700,0.0,0.0
2013-04-02 00:00:00-04:00,27.44202423420604,27.874757189426482,26.862823949186676,27.808183670043945,60859400,0.0,0.0
2013-04-09 00:00:00-04:00,27.934677458660612,29.139677593689875,27.56851798237308,27.588489532470703,34329500,0.4,0.0
2013-04-16 00:00:00-04:00,27.99834903528536,30.121576522020753,27.635521390182408,29.698274612426758,32077700,0.0,0.0
2013-04-23 00:00:00-04:00,29.973757472834663,31.122717283089834,29.40263525566787,30.390338897705078,36277800,0.0,0.0
2013-04-30 00:00:00-04:00,30.269392128372377,31.06224212956797,29.44966781087208,29.960315704345703,31573000,0.0,0.0
2013-05-07 00:00:00-04:00,29.89985422101297,30.269402468423728,29.059970675478898,29.92673110961914,23959900,0.0,0.0
2013-05-14 00:00:00-04:00,29.624365039106095,31.80806170601218,29.624365039106095,31.082401275634766,25850700,0.0,0.0
2013-05-21 00:00:00-04:00,31.03537077982785,32.251522877732484,30.444094705849697,30.53144073486328,17730200,0.0,0.0
